season_team_id,season_code,team_id,games_played,minutes,points,two_points_made,two_points_attempted,three_points_made,three_points_attempted,free_throws_made,free_throws_attempted,offensive_rebounds,defensive_rebounds,total_rebounds,assists,steals,turnovers,blocks_favour,blocks_against,fouls_committed,fouls_received,valuation,minutes_per_game,points_per_game,two_points_made_per_game,two_points_attempted_per_game,two_points_percentage,three_points_made_per_game,three_points_attempted_per_game,three_points_percentage,free_throws_made_per_game,free_throws_attempted_per_game,free_throws_percentage,offensive_rebounds_per_game,defensive_rebounds_per_game,total_rebounds_per_game,assists_per_game,steals_per_game,turnovers_per_game,blocks_favour_per_game,blocks_against_per_game,fouls_committed_per_game,fouls_received_per_game,valuation_per_game
2013_NIK,E2013,NIK,10.0,400.0,737.0,188.0,385.0,76.0,216.0,133.0,168.0,77.0,214.0,291.0,148.0,76.0,138.0,33.0,31.0,179.0,194.0,759.0,40.0,73.7,18.8,38.5,0.488,7.6,21.6,0.352,13.3,16.8,0.792,7.7,21.4,29.1,14.8,7.6,13.8,3.3,3.1,17.9,19.4,75.9
2013_NTR,E2013,NTR,10.0,401.0,682.0,193.0,389.0,69.0,221.0,89.0,132.0,99.0,211.0,310.0,127.0,67.0,131.0,22.0,23.0,208.0,160.0,615.0,40.1,68.2,19.3,38.9,0.496,6.9,22.1,0.312,8.9,13.2,0.674,9.9,21.1,31.0,12.7,6.7,13.1,2.2,2.3,20.8,16.0,61.5
2013_OLY,E2013,OLY,29.0,1160.9,2236.0,574.0,1061.0,240.0,639.0,368.0,539.0,297.0,693.0,990.0,507.0,150.0,354.0,104.0,81.0,623.0,618.0,2490.0,40.0,77.1,19.8,36.6,0.541,8.3,22.0,0.376,12.7,18.6,0.683,10.2,23.9,34.1,17.5,5.2,12.2,3.6,2.8,21.5,21.3,85.9
2013_PAN,E2013,PAN,29.0,1184.8,2036.0,494.0,993.0,221.0,678.0,385.0,514.0,277.0,668.0,945.0,450.0,211.0,379.0,76.0,84.0,584.0,592.0,2178.0,40.9,70.2,17.0,34.2,0.497,7.6,23.4,0.326,13.3,17.7,0.749,9.6,23.0,32.6,15.5,7.3,13.1,2.6,2.9,20.1,20.4,75.1
2013_PAR,E2013,PAR,24.0,960.0,1621.0,483.0,1027.0,127.0,371.0,274.0,385.0,289.0,545.0,834.0,290.0,151.0,351.0,46.0,82.0,485.0,457.0,1582.0,40.0,67.5,20.1,42.8,0.47,5.3,15.5,0.342,11.4,16.0,0.712,12.0,22.7,34.8,12.1,6.3,14.6,1.9,3.4,20.2,19.0,65.9
2013_RED,E2013,RED,10.0,405.2,804.0,236.0,450.0,62.0,174.0,146.0,206.0,122.0,243.0,365.0,151.0,81.0,147.0,23.0,39.0,228.0,224.0,848.0,40.5,80.4,23.6,45.0,0.524,6.2,17.4,0.356,14.6,20.6,0.709,12.2,24.3,36.5,15.1,8.1,14.7,2.3,3.9,22.8,22.4,84.8
2013_SIE,E2013,SIE,10.0,399.9,674.0,175.0,393.0,79.0,231.0,87.0,118.0,102.0,234.0,336.0,133.0,52.0,100.0,24.0,32.0,208.0,169.0,647.0,40.0,67.4,17.5,39.3,0.445,7.9,23.1,0.342,8.7,11.8,0.737,10.2,23.4,33.6,13.3,5.2,10.0,2.4,3.2,20.8,16.9,64.7
2013_STR,E2013,STR,10.0,401.0,705.0,215.0,429.0,58.0,172.0,101.0,133.0,103.0,198.0,301.0,185.0,77.0,151.0,30.0,24.0,204.0,188.0,747.0,40.1,70.5,21.5,42.9,0.501,5.8,17.2,0.337,10.1,13.3,0.759,10.3,19.8,30.1,18.5,7.7,15.1,3.0,2.4,20.4,18.8,74.7
2013_TEL,E2013,TEL,30.0,1210.0,2384.0,631.0,1158.0,249.0,640.0,375.0,525.0,244.0,718.0,962.0,521.0,171.0,349.0,79.0,84.0,649.0,604.0,2571.0,40.3,79.5,21.0,38.6,0.545,8.3,21.3,0.389,12.5,17.5,0.714,8.1,23.9,32.1,17.4,5.7,11.6,2.6,2.8,21.6,20.1,85.7
2013_TIV,E2013,TIV,24.0,966.0,1821.0,516.0,968.0,163.0,474.0,300.0,435.0,221.0,588.0,809.0,440.0,164.0,320.0,81.0,47.0,459.0,478.0,2069.0,40.2,75.9,21.5,40.3,0.533,6.8,19.8,0.344,12.5,18.1,0.69,9.2,24.5,33.7,18.3,6.8,13.3,3.4,2.0,19.1,19.9,86.2
2013_ULK,E2013,ULK,24.0,960.1,1927.0,555.0,992.0,149.0,440.0,370.0,483.0,250.0,573.0,823.0,355.0,152.0,287.0,54.0,58.0,517.0,505.0,2113.0,40.0,80.3,23.1,41.3,0.559,6.2,18.3,0.339,15.4,20.1,0.766,10.4,23.9,34.3,14.8,6.3,12.0,2.2,2.4,21.5,21.0,88.0
2013_ZAL,E2013,ZAL,24.0,960.0,1805.0,436.0,856.0,216.0,568.0,285.0,363.0,233.0,586.0,819.0,403.0,126.0,393.0,61.0,61.0,498.0,466.0,1878.0,40.0,75.2,18.2,35.7,0.509,9.0,23.7,0.38,11.9,15.1,0.785,9.7,24.4,34.1,16.8,5.2,16.4,2.5,2.5,20.8,19.4,78.2
2014_BAR,E2014,BAR,28.0,1132.0,2285.0,578.0,1107.0,231.0,630.0,436.0,549.0,291.0,716.0,1007.0,521.0,151.0,313.0,77.0,73.0,535.0,603.0,2682.0,40.4,81.6,20.6,39.5,0.522,8.2,22.5,0.367,15.6,19.6,0.794,10.4,25.6,36.0,18.6,5.4,11.2,2.8,2.6,19.1,21.5,95.8
2014_BAS,E2014,BAS,24.0,960.0,1958.0,491.0,980.0,199.0,592.0,379.0,508.0,303.0,619.0,922.0,344.0,156.0,289.0,93.0,79.0,514.0,519.0,2099.0,40.0,81.6,20.5,40.8,0.501,8.3,24.7,0.336,15.8,21.2,0.746,12.6,25.8,38.4,14.3,6.5,12.0,3.9,3.3,21.4,21.6,87.5
2014_BER,E2014,BER,24.0,965.1,1738.0,511.0,997.0,145.0,402.0,281.0,395.0,254.0,554.0,808.0,405.0,158.0,376.0,47.0,68.0,563.0,475.0,1767.0,40.2,72.4,21.3,41.5,0.513,6.0,16.8,0.361,11.7,16.5,0.711,10.6,23.1,33.7,16.9,6.6,15.7,2.0,2.8,23.5,19.8,73.6
2014_CED,E2014,CED,10.0,400.0,740.0,185.0,387.0,88.0,246.0,106.0,143.0,117.0,212.0,329.0,176.0,72.0,130.0,7.0,25.0,232.0,196.0,736.0,40.0,74.0,18.5,38.7,0.478,8.8,24.6,0.358,10.6,14.3,0.741,11.7,21.2,32.9,17.6,7.2,13.0,0.7,2.5,23.2,19.6,73.6
2014_CSK,E2014,CSK,30.0,1214.9,2613.0,637.0,1165.0,286.0,698.0,481.0,611.0,318.0,795.0,1113.0,626.0,216.0,394.0,126.0,75.0,636.0,655.0,3174.0,40.5,87.1,21.2,38.8,0.547,9.5,23.3,0.41,16.0,20.4,0.787,10.6,26.5,37.1,20.9,7.2,13.1,4.2,2.5,21.2,21.8,105.8
2014_GAL,E2014,GAL,24.0,975.0,1826.0,455.0,903.0,183.0,540.0,367.0,474.0,238.0,558.0,796.0,357.0,130.0,308.0,49.0,63.0,413.0,521.0,1983.0,40.6,76.1,19.0,37.6,0.504,7.6,22.5,0.339,15.3,19.8,0.774,9.9,23.2,33.2,14.9,5.4,12.8,2.0,2.6,17.2,21.7,82.6
2014_IST,E2014,IST,28.0,1120.0,2119.0,541.0,1102.0,210.0,604.0,407.0,539.0,273.0,720.0,993.0,484.0,169.0,338.0,81.0,93.0,632.0,583.0,2279.0,40.0,75.7,19.3,39.4,0.491,7.5,21.6,0.348,14.5,19.2,0.755,9.8,25.7,35.5,17.3,6.0,12.1,2.9,3.3,22.6,20.8,81.4
2014_KLA,E2014,KLA,10.0,405.0,763.0,196.0,379.0,79.0,244.0,134.0,197.0,100.0,250.0,350.0,162.0,69.0,136.0,16.0,31.0,230.0,204.0,756.0,40.5,76.3,19.6,37.9,0.517,7.9,24.4,0.324,13.4,19.7,0.68,10.0,25.0,35.0,16.2,6.9,13.6,1.6,3.1,23.0,20.4,75.6
2014_LMG,E2014,LMG,10.0,400.0,702.0,175.0,370.0,82.0,247.0,106.0,142.0,105.0,208.0,313.0,165.0,85.0,147.0,20.0,24.0,199.0,203.0,722.0,40.0,70.2,17.5,37.0,0.473,8.2,24.7,0.332,10.6,14.2,0.746,10.5,20.8,31.3,16.5,8.5,14.7,2.0,2.4,19.9,20.3,72.2
2014_MAD,E2014,MAD,30.0,1202.0,2589.0,643.0,1204.0,285.0,743.0,448.0,569.0,321.0,726.0,1047.0,644.0,245.0,286.0,71.0,76.0,624.0,656.0,3126.0,40.1,86.3,21.4,40.1,0.534,9.5,24.8,0.384,14.9,19.0,0.787,10.7,24.2,34.9,21.5,8.2,9.5,2.4,2.5,20.8,21.9,104.2
2014_MAL,E2014,MAL,24.0,966.0,1842.0,487.0,969.0,171.0,550.0,355.0,477.0,335.0,558.0,893.0,401.0,138.0,309.0,48.0,68.0,432.0,529.0,2059.0,40.2,76.8,20.3,40.4,0.503,7.1,22.9,0.311,14.8,19.9,0.744,14.0,23.2,37.2,16.7,5.8,12.9,2.0,2.8,18.0,22.0,85.8
2014_MIL,E2014,MIL,24.0,974.0,1858.0,484.0,947.0,184.0,579.0,338.0,472.0,263.0,538.0,801.0,357.0,137.0,240.0,58.0,78.0,560.0,499.0,1840.0,40.6,77.4,20.2,39.5,0.511,7.7,24.1,0.318,14.1,19.7,0.716,11.0,22.4,33.4,14.9,5.7,10.0,2.4,3.2,23.3,20.8,76.7
2014_MUN,E2014,MUN,10.0,405.0,806.0,200.0,421.0,85.0,227.0,151.0,192.0,111.0,242.0,353.0,160.0,44.0,103.0,21.0,40.0,221.0,213.0,829.0,40.5,80.6,20.0,42.1,0.475,8.5,22.7,0.374,15.1,19.2,0.786,11.1,24.2,35.3,16.0,4.4,10.3,2.1,4.0,22.1,21.3,82.9
2014_NOV,E2014,NOV,24.0,970.0,1885.0,487.0,988.0,199.0,518.0,314.0,405.0,222.0,590.0,812.0,414.0,141.0,287.0,77.0,68.0,550.0,467.0,1980.0,40.4,78.5,20.3,41.2,0.493,8.3,21.6,0.384,13.1,16.9,0.775,9.2,24.6,33.8,17.2,5.9,12.0,3.2,2.8,22.9,19.5,82.5
2014_OLY,E2014,OLY,30.0,1204.0,2229.0,546.0,1055.0,248.0,705.0,393.0,564.0,281.0,733.0,1014.0,523.0,174.0,348.0,99.0,74.0,671.0,646.0,2455.0,40.1,74.3,18.2,35.2,0.518,8.3,23.5,0.352,13.1,18.8,0.697,9.4,24.4,33.8,17.4,5.8,11.6,3.3,2.5,22.4,21.5,81.8
2014_PAM,E2014,PAM,10.0,402.0,775.0,195.0,387.0,90.0,250.0,115.0,142.0,95.0,217.0,312.0,169.0,83.0,109.0,24.0,23.0,225.0,194.0,821.0,40.2,77.5,19.5,38.7,0.504,9.0,25.0,0.36,11.5,14.2,0.81,9.5,21.7,31.2,16.9,8.3,10.9,2.4,2.3,22.5,19.4,82.1
2014_PAN,E2014,PAN,28.0,1120.0,2103.0,500.0,988.0,246.0,651.0,365.0,478.0,246.0,670.0,916.0,484.0,179.0,355.0,64.0,78.0,598.0,581.0,2290.0,40.0,75.1,17.9,35.3,0.506,8.8,23.2,0.378,13.0,17.1,0.764,8.8,23.9,32.7,17.3,6.4,12.7,2.3,2.8,21.4,20.8,81.8
2014_RED,E2014,RED,24.0,971.0,1809.0,520.0,1041.0,143.0,485.0,340.0,466.0,306.0,644.0,950.0,431.0,160.0,354.0,56.0,84.0,508.0,491.0,1962.0,40.5,75.4,21.7,43.4,0.5,6.0,20.2,0.295,14.2,19.4,0.73,12.8,26.8,39.6,18.0,6.7,14.8,2.3,3.5,21.2,20.5,81.8
2014_SAS,E2014,SAS,10.0,400.0,758.0,182.0,390.0,95.0,291.0,109.0,180.0,136.0,195.0,331.0,156.0,105.0,128.0,29.0,36.0,209.0,198.0,729.0,40.0,75.8,18.2,39.0,0.467,9.5,29.1,0.326,10.9,18.0,0.606,13.6,19.5,33.1,15.6,10.5,12.8,2.9,3.6,20.9,19.8,72.9
2014_TEL,E2014,TEL,27.0,1092.0,2081.0,594.0,1110.0,193.0,567.0,314.0,473.0,257.0,714.0,971.0,475.0,162.0,347.0,119.0,67.0,570.0,535.0,2310.0,40.4,77.1,22.0,41.1,0.535,7.1,21.0,0.34,11.6,17.5,0.664,9.5,26.4,36.0,17.6,6.0,12.9,4.4,2.5,21.1,19.8,85.6
2014_ULK,E2014,ULK,29.0,1182.0,2373.0,673.0,1237.0,214.0,569.0,385.0,570.0,325.0,720.0,1045.0,480.0,177.0,337.0,98.0,75.0,610.0,617.0,2664.0,40.8,81.8,23.2,42.7,0.544,7.4,19.6,0.376,13.3,19.7,0.675,11.2,24.8,36.0,16.6,6.1,11.6,3.4,2.6,21.0,21.3,91.9
2014_UNK,E2014,UNK,10.0,400.0,751.0,215.0,381.0,66.0,187.0,123.0,167.0,73.0,260.0,333.0,160.0,56.0,126.0,36.0,22.0,199.0,213.0,871.0,40.0,75.1,21.5,38.1,0.564,6.6,18.7,0.353,12.3,16.7,0.737,7.3,26.0,33.3,16.0,5.6,12.6,3.6,2.2,19.9,21.3,87.1
2014_ZAL,E2014,ZAL,24.0,959.0,1718.0,457.0,954.0,171.0,470.0,291.0,403.0,247.0,627.0,874.0,340.0,130.0,350.0,74.0,77.0,530.0,492.0,1763.0,40.0,71.6,19.0,39.8,0.479,7.1,19.6,0.364,12.1,16.8,0.722,10.3,26.1,36.4,14.2,5.4,14.6,3.1,3.2,22.1,20.5,73.5
2014_ZGO,E2014,ZGO,10.0,400.1,773.0,205.0,399.0,77.0,209.0,132.0,185.0,84.0,247.0,331.0,162.0,54.0,135.0,33.0,24.0,241.0,220.0,794.0,40.0,77.3,20.5,39.9,0.514,7.7,20.9,0.368,13.2,18.5,0.714,8.4,24.7,33.1,16.2,5.4,13.5,3.3,2.4,24.1,22.0,79.4
2015_BAM,E2015,BAM,24.0,962.0,1851.0,474.0,902.0,190.0,478.0,333.0,419.0,186.0,599.0,785.0,426.0,119.0,299.0,58.0,57.0,537.0,498.0,2042.0,40.1,77.1,19.8,37.6,0.525,7.9,19.9,0.397,13.9,17.5,0.795,7.8,25.0,32.7,17.8,5.0,12.5,2.4,2.4,22.4,20.8,85.1
2015_BAR,E2015,BAR,29.0,1176.0,2289.0,562.0,1073.0,249.0,667.0,418.0,564.0,283.0,698.0,981.0,517.0,182.0,328.0,58.0,72.0,573.0,625.0,2604.0,40.6,78.9,19.4,37.0,0.524,8.6,23.0,0.373,14.4,19.4,0.741,9.8,24.1,33.8,17.8,6.3,11.3,2.0,2.5,19.8,21.6,89.8
2015_BAS,E2015,BAS,29.0,1185.0,2366.0,553.0,1079.0,271.0,757.0,447.0,568.0,297.0,792.0,1089.0,436.0,210.0,395.0,106.0,75.0,591.0,650.0,2663.0,40.9,81.6,19.1,37.2,0.513,9.3,26.1,0.358,15.4,19.6,0.787,10.2,27.3,37.6,15.0,7.2,13.6,3.7,2.6,20.4,22.4,91.8
2015_CED,E2015,CED,24.0,960.0,1788.0,496.0,963.0,161.0,489.0,313.0,420.0,236.0,573.0,809.0,376.0,125.0,326.0,31.0,64.0,495.0,490.0,1832.0,40.0,74.5,20.7,40.1,0.515,6.7,20.4,0.329,13.0,17.5,0.745,9.8,23.9,33.7,15.7,5.2,13.6,1.3,2.7,20.6,20.4,76.3
2015_CSK,E2015,CSK,29.0,1171.0,2638.0,613.0,1058.0,291.0,689.0,539.0,687.0,277.0,720.0,997.0,573.0,188.0,374.0,92.0,85.0,658.0,692.0,3072.0,40.4,91.0,21.1,36.5,0.579,10.0,23.8,0.422,18.6,23.7,0.785,9.6,24.8,34.4,19.8,6.5,12.9,3.2,2.9,22.7,23.9,105.9
2015_DAR,E2015,DAR,24.0,966.1,1764.0,470.0,914.0,180.0,505.0,284.0,430.0,237.0,560.0,797.0,405.0,160.0,346.0,71.0,57.0,484.0,506.0,1901.0,40.3,73.5,19.6,38.1,0.514,7.5,21.0,0.356,11.8,17.9,0.66,9.9,23.3,33.2,16.9,6.7,14.4,3.0,2.4,20.2,21.1,79.2
