season_player_id,season_code,player_id,player,team_id,games_played,games_started,minutes,points,two_points_made,two_points_attempted,three_points_made,three_points_attempted,free_throws_made,free_throws_attempted,offensive_rebounds,defensive_rebounds,total_rebounds,assists,steals,turnovers,blocks_favour,blocks_against,fouls_committed,fouls_received,valuation,minutes_per_game,points_per_game,two_points_made_per_game,two_points_attempted_per_game,two_points_percentage,three_points_made_per_game,three_points_attempted_per_game,three_points_percentage,free_throws_made_per_game,free_throws_attempted_per_game,free_throws_percentage,offensive_rebounds_per_game,defensive_rebounds_per_game,total_rebounds_per_game,assists_per_game,steals_per_game,turnovers_per_game,blocks_favour_per_game,blocks_against_per_game,fouls_committed_per_game,fouls_received_per_game,valuation_per_game
2011_P003478_MAL,E2011,P003478,ABRINES_ ALEJANDRO,MAL,6.0,1.0,70.5,15,3,8,2,15,3,4,3,4,7,3,2,4,2,1,6,6,5,11.75,2.5,0.5,1.33,0.375,0.33,2.5,0.133,0.5,0.67,0.75,0.5,0.67,1.17,0.5,0.33,0.67,0.33,0.17,1.0,1.0,0.83
2012_P003478_BAR,E2012,P003478,ABRINES_ ALEJANDRO,BAR,15.0,2.0,169.5,77,14,22,11,34,16,16,4,12,16,5,6,8,1,1,20,15,60,11.3,5.13,0.93,1.47,0.636,0.73,2.27,0.324,1.07,1.07,1.0,0.27,0.8,1.07,0.33,0.4,0.53,0.07,0.07,1.33,1.0,4.0
2013_P003478_BAR,E2013,P003478,ABRINES_ ALEJANDRO,BAR,28.0,4.0,466.1,187,37,65,31,84,20,26,13,24,37,19,11,23,4,4,52,34,126,16.65,6.68,1.32,2.32,0.569,1.11,3.0,0.369,0.71,0.93,0.769,0.46,0.86,1.32,0.68,0.39,0.82,0.14,0.14,1.86,1.21,4.5
2014_P003478_BAR,E2014,P003478,ABRINES_ ALEX,BAR,23.0,3.0,417.1,174,30,46,29,85,27,35,8,27,35,31,15,14,4,2,50,40,153,18.14,7.57,1.3,2.0,0.652,1.26,3.7,0.341,1.17,1.52,0.771,0.35,1.17,1.52,1.35,0.65,0.61,0.17,0.09,2.17,1.74,6.65
2015_P003478_BAR,E2015,P003478,ABRINES_ ALEX,BAR,25.0,2.0,480.5,232,36,66,40,96,40,48,15,39,54,21,14,12,3,5,40,46,219,19.22,9.28,1.44,2.64,0.545,1.6,3.84,0.417,1.6,1.92,0.833,0.6,1.56,2.16,0.84,0.56,0.48,0.12,0.2,1.6,1.84,8.76
2019_P003478_BAR,E2019,P003478,ABRINES_ ALEX,BAR,25.0,3.0,370.5,130,15,32,30,65,10,12,13,39,52,10,14,6,2,2,44,20,122,14.82,5.2,0.6,1.28,0.469,1.2,2.6,0.462,0.4,0.48,0.833,0.52,1.56,2.08,0.4,0.56,0.24,0.08,0.08,1.76,0.8,4.88
2020_P003478_BAR,E2020,P003478,ABRINES_ ALEX,BAR,39.0,33.0,728.4,237,22,50,55,130,28,31,22,50,72,26,22,13,8,7,96,39,182,18.68,6.08,0.56,1.28,0.44,1.41,3.33,0.423,0.72,0.79,0.903,0.56,1.28,1.85,0.67,0.56,0.33,0.21,0.18,2.46,1.0,4.67
2021_P003478_BAR,E2021,P003478,ABRINES_ ALEX,BAR,13.0,5.0,189.8,91,8,17,23,45,6,6,5,17,22,2,4,6,2,3,23,7,65,14.6,7.0,0.62,1.31,0.471,1.77,3.46,0.511,0.46,0.46,1.0,0.38,1.31,1.69,0.15,0.31,0.46,0.15,0.23,1.77,0.54,5.0
2022_P003478_BAR,E2022,P003478,ABRINES_ ALEX,BAR,25.0,2.0,404.3,175,13,34,43,87,20,24,13,32,45,17,15,17,3,1,57,33,144,16.17,7.0,0.52,1.36,0.382,1.72,3.48,0.494,0.8,0.96,0.833,0.52,1.28,1.8,0.68,0.6,0.68,0.12,0.04,2.28,1.32,5.76
2013_P005199_STR,E2013,P005199,ABROMAITIS_ TIM,STR,10.0,5.0,184.7,75,22,38,8,24,7,12,15,17,32,8,5,10,2,3,21,17,68,18.47,7.5,2.2,3.8,0.579,0.8,2.4,0.333,0.7,1.2,0.583,1.5,1.7,3.2,0.8,0.5,1.0,0.2,0.3,2.1,1.7,6.8
