season_player_id,season_code,player_id,player,team_id,games_played,games_started,minutes,points,two_points_made,two_points_attempted,three_points_made,three_points_attempted,free_throws_made,free_throws_attempted,offensive_rebounds,defensive_rebounds,total_rebounds,assists,steals,turnovers,blocks_favour,blocks_against,fouls_committed,fouls_received,valuation,minutes_per_game,points_per_game,two_points_made_per_game,two_points_attempted_per_game,two_points_percentage,three_points_made_per_game,three_points_attempted_per_game,three_points_percentage,free_throws_made_per_game,free_throws_attempted_per_game,free_throws_percentage,offensive_rebounds_per_game,defensive_rebounds_per_game,total_rebounds_per_game,assists_per_game,steals_per_game,turnovers_per_game,blocks_favour_per_game,blocks_against_per_game,fouls_committed_per_game,fouls_received_per_game,valuation_per_game
2022_P011808_BUD,U2022,P011808,"BOOTH, PHIL",BUD,3.0,3.0,68.2,30,9,20,3,8,3,5,2,4,6,8,0,4,0,1,6,6,21,22.73,10.0,3.0,6.67,0.45,1.0,2.67,0.375,1.0,1.67,0.6,0.67,1.33,2.0,2.67,0.0,1.33,0.0,0.33,2.0,2.0,7.0
2022_P003840_TTK,U2022,P003840,"BOUTEILLE, AXEL",TTK,3.0,2.0,83.3,52,11,22,10,19,0,0,2,9,11,7,4,1,0,1,5,2,49,27.76,17.33,3.67,7.33,0.5,3.33,6.33,0.526,0.0,0.0,0.0,0.67,3.0,3.67,2.33,1.33,0.33,0.0,0.33,1.67,0.67,16.33
2022_P002906_VNC,U2022,P002906,"BRAMOS, MICHAEL",VNC,3.0,1.0,68.4,30,2,4,8,18,2,2,2,7,9,1,1,2,2,0,7,6,28,22.8,10.0,0.67,1.33,0.5,2.67,6.0,0.444,0.67,0.67,1.0,0.67,2.33,3.0,0.33,0.33,0.67,0.67,0.0,2.33,2.0,9.33
2022_P007952_ULM,U2022,P007952,"BRETZEL, NICOLAS",ULM,2.0,0.0,13.7,12,6,6,0,1,0,0,1,2,3,1,1,0,0,0,1,1,16,6.84,6.0,3.0,3.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,1.0,1.5,0.5,0.5,0.0,0.0,0.0,0.5,0.5,8.0
2022_P004117_VNC,U2022,P004117,"BROOKS, JEFF",VNC,3.0,1.0,40.7,12,2,7,2,3,2,2,3,2,5,2,4,6,0,0,1,1,11,13.58,4.0,0.67,2.33,0.286,0.67,1.0,0.667,0.67,0.67,1.0,1.0,0.67,1.67,0.67,1.33,2.0,0.0,0.0,0.33,0.33,3.67
2022_P011991_HTA,U2022,P011991,"BROWN, J'COVAN",HTA,3.0,3.0,97.2,42,5,11,7,17,11,12,1,10,11,23,2,6,0,0,5,11,61,32.38,14.0,1.67,3.67,0.455,2.33,5.67,0.412,3.67,4.0,0.917,0.33,3.33,3.67,7.67,0.67,2.0,0.0,0.0,1.67,3.67,20.33
2022_P008121_CAN,U2022,P008121,"BRUSSINO, NICOLAS",CAN,3.0,3.0,71.0,31,4,4,7,16,2,2,2,15,17,9,2,4,0,0,7,8,47,23.66,10.33,1.33,1.33,1.0,2.33,5.33,0.438,0.67,0.67,1.0,0.67,5.0,5.67,3.0,0.67,1.33,0.0,0.0,2.33,2.67,15.67
2022_P005692_BRE,U2022,P005692,"BURNS, CHRISTIAN",BRE,2.0,1.0,19.1,10,4,7,0,1,2,2,4,4,8,0,2,1,0,1,4,2,12,9.54,5.0,2.0,3.5,0.571,0.0,0.5,0.0,1.0,1.0,1.0,2.0,2.0,4.0,0.0,1.0,0.5,0.0,0.5,2.0,1.0,6.0
2022_P006771_JOV,U2022,P006771,"BUSQUETS, PEP",JOV,3.0,2.0,27.6,10,2,2,2,3,0,0,0,0,0,0,2,2,0,0,5,2,6,9.21,3.33,0.67,0.67,1.0,0.67,1.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.67,0.0,0.0,1.67,0.67,2.0
2022_P010146_TRN,U2022,P010146,"CALAMITA, ALESSIO",TRN,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022_P005373_CLU,U2022,P005373,"CATE, EMANUEL",CLU,3.0,2.0,62.9,28,10,14,1,1,5,5,4,13,17,3,0,6,4,0,9,9,42,20.97,9.33,3.33,4.67,0.714,0.33,0.33,1.0,1.67,1.67,1.0,1.33,4.33,5.67,1.0,0.0,2.0,1.33,0.0,3.0,3.0,14.0
